Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Boskoney,,,,HOMME,113,,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Bosler,,,,HOMME,114,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
Bourdon,,,,HOMME,115,,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,19
Brace,,,,HOMME,116,,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,5
Brahil,,,,HOMME,117,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Brand,,,,HOMME,118,,0,0,0,0,0,3,0,1,0,0,0,0,34,47,7,92
Brashia,,,,FEMME,120,,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11
Bravonner,,,,HOMME,121,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Breda,,,,FEMME,122,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
Breide,,,,HOMME,123,,0,0,0,0,0,43,0,0,0,0,0,0,0,12,0,55
Brekke,Brekker,,,FEMME,124,,0,0,0,0,0,16,0,0,375,37,16,7,165,10,6,632
Brenton,,,,HOMME,125,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brestolli,,,,HOMME,126,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
Brever,,,,HOMME,127,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Briala,,,,FEMME,128,,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
Brian,,,,HOMME,129,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Briaret,,,,HOMME,130,,0,0,0,0,0,6,0,0,0,0,0,1,1,2,0,10
Bridgely,,,,HOMME,131,,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,85
Brinaret,,,,HOMME,132,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Brindel,,,,,133,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Brinna,,,,FEMME,134,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Briskin,,,,HOMME,135,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Bristol,,,,HOMME,136,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Brodo,,,,HOMME,137,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Brolly,,,,HOMME,138,,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,20
Brookie,,,,HOMME,139,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Brosil,,,,HOMME,140,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Brudegan,Bruddie,,,HOMME,141,,0,0,0,0,0,0,0,0,14,0,41,0,0,0,0,55
Burdion,,,,HOMME,142,,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,6
C’reel ,,,,,144,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
C’rob,,,,HOMME,145,,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30
C’tarel,,,,HOMME,146,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
C’ver,,,,HOMME,147,,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,7
C’vert,,,,HOMME,148,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
C’vrel,,,,HOMME,149,,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14
Cabot,Francis,Carter,,HOMME,150,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Calewis,,,,HOMME,152,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Camo,,,,HOMME,154,,0,12,0,0,0,0,11,0,0,0,140,6,0,0,0,169
Camo,,,,HOMME,153,,0,12,0,0,0,0,11,0,0,0,140,6,0,0,0,169
Campen,,,,HOMME,155,,0,0,0,4,41,2,0,0,0,0,0,0,0,0,0,47
Campila,,,,FEMME,156,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Candler ,,,,HOMME,157,,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19
Canell,,,,HOMME,158,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Capiam,,,,HOMME,159,,0,0,0,447,60,1,0,0,0,0,3,0,0,0,0,511
Cara,,,,FEMME,160,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Carol,Duff,Vassaloe,,FEMME,161,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Caselon,,,,HOMME,163,,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
Cathy,,,,FEMME,165,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Celina,,,,FEMME,166,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Chad,,,,HOMME,168,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
Chaila,Zavior,Kimmage,,FEMME,169,,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,27
Chaldon,,,,HOMME,170,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
Chalkin,,,,HOMME,171,,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,303
Chenoa,,,,FEMME,172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Cherry,Duff,,,FEMME,173,,38,0,6,0,0,0,0,0,0,0,0,0,0,0,0,44
Chesmic,,,,HOMME,174,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
Chichis-Fusi,,,,HOMME,175,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Childon,,,,HOMME,176,,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12
Chio-Chio,,,,FEMME,177,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chochol,,,,HOMME,178,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
Chomas,,,,HOMME,179,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Chris,MacArdle,Cooney,,,180,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Christee,,,,,181,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Chuck,Havers,,,HOMME,183,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Chuck,Kimmage,,,HOMME,182,,12,0,0,0,0,20,0,0,0,0,0,0,0,0,0,32
Chung,,,,HOMME,184,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ciparis,,,,HOMME,185,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
Clagesh,,,,HOMME,186,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Clargesh,,,,FEMME,187,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Clell,,,,HOMME,188,,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25
Clim,,,,HOMME,189,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Clisser,Cliss,,,HOMME,190,,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,165
Clostan,,,,HOMME,191,,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,41
Cobber,Alhinwa,,,HOMME,192,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Cogneur,,,,HOMME,193,,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,48
Colmin,,,,HOMME,194,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Conwy,,,,HOMME,195,,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17
Corana,,,,FEMME,196,,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,43
Cording,,,,HOMME,197,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Corman,,,,HOMME,198,,0,1,0,0,0,12,0,2,18,0,0,0,5,58,2,98
Cosira,,,,FEMME,199,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,12
Cr’not,,,,HOMME,200,,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,10
Creline,,,,HOMME,201,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Crenden,Cren,,,HOMME,202,,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75
Crivelan,Crivellan-aux-doigts-agiles,,,HOMME,203,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Curella,,,,FEMME,204,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
