Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Brace,,,,HOMME,114,,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,5
Brahil,,,,HOMME,115,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Brand,,,,HOMME,116,,0,0,0,0,0,3,0,1,0,0,0,0,34,47,7,92
Brare,,,,HOMME,117,True,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24
Brashia,,,,FEMME,118,,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11
Bravonner,,,,HOMME,119,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Breda,,,,FEMME,120,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
Breide,,,,HOMME,121,,0,0,0,0,0,43,0,0,0,0,0,0,0,12,0,55
Brekke,Brekker,,,FEMME,122,,0,0,0,0,0,16,0,0,375,37,16,7,165,10,6,632
Brenton,,,,HOMME,123,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brestolli,,,,HOMME,124,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
Brever,,,,HOMME,125,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Briala,,,,FEMME,126,,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
Brian,,,,HOMME,127,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Briaret,,,,HOMME,128,,0,0,0,0,0,6,0,0,0,0,0,1,1,2,0,10
Bridgely,,,,HOMME,129,,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,85
Brinaret,,,,HOMME,130,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Brindel,,,,,131,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Brinna,,,,FEMME,132,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Briskin,,,,HOMME,133,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Bristol,,,,HOMME,134,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Brodo,,,,HOMME,135,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Brolly,,,,HOMME,136,,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,20
Brookie,,,,HOMME,137,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Brosil,,,,HOMME,138,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Brudegan,Bruddie,,,HOMME,139,,0,0,0,0,0,0,0,0,14,0,41,0,0,0,0,55
Burdion,,,,HOMME,140,,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,6
C’gan,,,,HOMME,141,True,0,0,0,0,0,0,50,17,2,0,0,0,0,0,0,69
C’reel ,,,,,142,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
C’rob,,,,HOMME,143,,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30
C’tarel,,,,HOMME,144,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
C’ver,,,,HOMME,145,,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,7
C’vert,,,,HOMME,146,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
C’vrel,,,,HOMME,147,,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14
Cabot,Francis,Carter,,HOMME,148,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Caesar,Galliani,,,HOMME,149,True,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Calewis,,,,HOMME,150,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Camo,,,,HOMME,151,,0,12,0,0,0,0,11,0,0,0,140,6,0,0,0,169
Campen,,,,HOMME,152,,0,0,0,4,41,2,0,0,0,0,0,0,0,0,0,47
Campila,,,,FEMME,153,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Candler ,,,,HOMME,154,,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19
Canell,,,,HOMME,155,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Capiam,,,,HOMME,156,,0,0,0,447,60,1,0,0,0,0,3,0,0,0,0,511
Cara,,,,FEMME,157,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Carol,Duff,Vassaloe,,FEMME,158,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Carola,,,,FEMME,159,True,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19
Caselon,,,,HOMME,160,,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
Catherine,Radelin,Doyle,,FEMME,161,True,21,1,0,0,0,0,0,0,0,0,0,0,0,13,10,45
Cathy,,,,FEMME,162,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Celina,,,,FEMME,163,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Ch’mon,,,,HOMME,164,True,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Chad,,,,HOMME,165,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
Chaila,Zavior,Kimmage,,FEMME,166,,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,27
Chaldon,,,,HOMME,167,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
Chalkin,,,,HOMME,168,,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,303
Chenoa,,,,FEMME,169,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Cherry,Duff,,,FEMME,170,,38,0,6,0,0,0,0,0,0,0,0,0,0,0,0,44
Chesmic,,,,HOMME,171,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
Chichis-Fusi,,,,HOMME,172,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Childon,,,,HOMME,173,,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12
Chio-Chio,,,,FEMME,174,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chochol,,,,HOMME,175,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
Chomas,,,,HOMME,176,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Chris,MacArdle,Cooney,,,177,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Christee,,,,,178,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Chuck,Havers,,,HOMME,179,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
