NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences,,,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,tot,,
Medda,,,,,FEMME,166.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,,,,,,,,,,,,,,,,,,,,
Palla,,,Talmanth,reine,FEMME,198.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,,,,,,,,,,,,,,,,,,,,
Evan,,,,,FEMME,75.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,,,,,,,,,,,,,,,,,,,,
Haura,,,Werth,reine,FEMME,98.0,,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,
Betty,Musgrave,Blake,,,FEMME,32.0,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,
Dulsay,,,,,FEMME,66.0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,15,,,,,,,,,,,,,,,,,,,,
Marella,,,,,FEMME,160.0,,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,15,,,,,,,,,,,,,,,,,,,,
Lotricia,,,,,FEMME,147.0,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,
Lotricia,,,,,FEMME,148.0,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,
Lidora,,,Ilith,reine,FEMME,141.0,,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,
Ballora,,,,,FEMME,19.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,,,,,,,,,,,,,,,,,,,,
Fanna,,,Mirath,reine,FEMME,79.0,True,0,0,0,0,0,1,0,0,5,0,0,0,8,0,0,14,,,,,,,,,,,,,,,,,,,,
Rannelly,Rannely,,,,FEMME,207.0,,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,
Larna,Lama,,,,FEMME,134.0,True,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,
Aranya,,,,,FEMME,16.0,,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,13,,,,,,,,,,,,,,,,,,,,
Libby,,,,,FEMME,140.0,,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,
Cosira,,,Caylith,reine,FEMME,53.0,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,12,,,,,,,,,,,,,,,,,,,,
Bedella,,,Solth,reine,FEMME,27.0,,0,0,0,0,0,1,0,0,8,0,0,0,0,0,3,12,,,,,,,,,,,,,,,,,,,,
Gana,,,,,FEMME,89.0,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,
Nora,Sejby,,Tenneth,or,FEMME,193.0,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,
Nyassa,Clissmann,,,,FEMME,194.0,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,
Breda,,,,,FEMME,36.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,,,,,,,,,,,,,,,,,,,,
Famira,,,,vert,FEMME,78.0,,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,
Brashia,,,,,FEMME,35.0,,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,
Sitta,,,,,FEMME,236.0,,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,
Dalova,,,Perforth,reine,FEMME,56.0,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,
Dalova,,,Allaneth,reine,FEMME,56.0,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,
Gallardy,,,,,FEMME,88.0,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,
Jane,,,,,FEMME,107.0,,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,
Svenda,Olubushtu,,,,FEMME,245.0,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,
Segoina,,,,,FEMME,223.0,,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,
Silvana,,,,,FEMME,231.0,,0,0,0,0,0,0,4,0,0,0,1,0,4,0,0,9,,,,,,,,,,,,,,,,,,,,
Kulla,,,,,FEMME,130.0,,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,
Nalka,,,,,FEMME,183.0,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,
Cara,,,,,FEMME,41.0,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,
Nia,,,,,FEMME,191.0,,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,8,,,,,,,,,,,,,,,,,,,,
Ju,Adjai,Adjar,,,FEMME,113.0,,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,,,,,,,,,,,,,,,,,,,,
Merika,,,,reine,FEMME,171.0,,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,8,,,,,,,,,,,,,,,,,,,,
Tela,,,,,FEMME,251.0,,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,
Dalma,,,,,FEMME,55.0,,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,
Pessia,,,,,FEMME,202.0,,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,
Saday,,,,,FEMME,213.0,,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,
Tellani,,,,,FEMME,252.0,,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,
Valli,Lieb,,,,FEMME,260.0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,
Marcine,,,,,FEMME,157.0,,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,
Winalla,,,,,FEMME,267.0,,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,
Murda,,,,,FEMME,180.0,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,
Gisa,,,,,FEMME,92.0,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,
Shavva,Fahroud,,,,FEMME,227.0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,
Neldama,,,Yasith,,FEMME,188.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,,,
Nadira,,,,reine,FEMME,181.0,,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,6,,,,,,,,,,,,,,,,,,,,
Nataly,,,,,FEMME,185.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,,,,,,,,,,,,,,,,,,,,
Tumara,,,,,FEMME,259.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,,,,,,,,,,,,,,,,,,,,
Soreel,,,,,FEMME,238.0,,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,
Varena,Vanira,Nanira,Ralenth,reine,FEMME,261.0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,
Evelene,,,,,FEMME,76.0,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,
