Id unique,NOMS HUMAINS,SECOND NOM,TROISIEME NOM,aliases
451.0,F’duril,,,F’duril
452.0,F’gal,,,F’gal
453.0,F’lar,Falla,Fallarnon,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar
454.0,F’lessan,,,F’lessan
455.0,F’lon,Falloner,,F’lon Falloner | Falloner | F’lon
455.0,F’lon,,,F’lon
456.0,F’neldril,,,F’neldril
457.0,F’nor,F’lor,,F’nor F’lor | F’lor | F’nor
457.0,F’nor,,,F’nor
458.0,F’rad,,,F’rad
459.0,F’tol,,,F’tol
460.0,Facenden,,,Facenden
461.0,Falawny,,,Falawny
462.0,Famanoran,,,Famanoran
463.0,Fandarel,,,Fandarel
464.0,Farevene,,,Farevene
465.0,Farley,,,Farley
466.0,Farnol,,,Farnol
467.0,Faroguy,,,Faroguy
468.0,Fax,,,Fax
469.0,Federen,,,Federen
470.0,Feldon,,,Feldon
471.0,Felessan,Fesselan,,Felessan Fesselan | Felessan | Fesselan
472.0,Felim,,,Felim
473.0,Fellek,,,Fellek
474.0,Fender,,,Fender
475.0,Ferfar,,,Ferfar
476.0,Fergal,,,Fergal
477.0,Fesnal,,,Fesnal
478.0,Fidello,,,Fidello
479.0,Filatric,,,Filatric
480.0,Finder,,,Finder
481.0,Fitatric,,,Fitatric
482.0,Florist,,,Florist
483.0,Follen,,,Follen
484.0,Fondarel,,,Fondarel
485.0,Fortine,,,Fortine
486.0,Fosdak,,,Fosdak
487.0,Franco,,,Franco
488.0,Frenkal,,,Frenkal
489.0,Fromelin,,,Fromelin
490.0,Fulmar,Stone,,Fulmar Stone | Fulmar | Stone
491.0,Furet,,,Furet
492.0,Furlo,,,Furlo
493.0,G’bol,,,G’bol
494.0,G’dened,G’neded,,G’dened G’neded | G’dened | G’neded
495.0,G’don,,,G’don
496.0,G’drel,,,G’drel
497.0,G’lanar,,,G’lanar
498.0,G’nag,,,G’nag
