NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Camo,,,,,HOMME,372.0,,0,12,0,0,0,0,11,0,0,0,140,6,0,0,0,169
Camo,,,,,HOMME,373.0,,0,12,0,0,0,0,11,0,0,0,140,6,0,0,0,169
Campen,,,,,HOMME,374.0,,0,0,0,4,41,0,0,0,0,0,0,0,0,0,0,45
Campila,,,,,FEMME,40.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Candler ,,,,,HOMME,375.0,,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19
Canell,,,,,HOMME,376.0,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Capiam,,,,,HOMME,377.0,,0,0,0,447,60,0,0,0,0,0,3,0,0,0,0,510
Cara,,,,,FEMME,41.0,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Carol,Duff,Vassaloe,,,FEMME,42.0,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Carola,,,Feyrith,reine,FEMME,43.0,True,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19
Caselon,,,,,HOMME,378.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
Catherine,Radelin,Doyle,,dorée,FEMME,44.0,True,21,1,0,0,0,0,0,0,0,0,0,0,0,13,10,45
Cathy,,,,,FEMME,45.0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Celina,,,Lamanth,reine,FEMME,46.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Ch’mon,,,Helith,bronze,HOMME,379.0,True,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Chad,,,,,HOMME,380.0,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
Chaila,Zavior,Kimmage,,,FEMME,47.0,,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,27
Chaldon,,,,,HOMME,381.0,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
Chalkin,,,,,HOMME,382.0,,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,303
Chenoa,,,,,FEMME,48.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Cherry,Duff,,,,FEMME,49.0,,38,0,6,0,0,0,0,0,0,0,0,0,0,0,0,44
Chesmic,,,,,HOMME,383.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
Chichis-Fusi,,,,,HOMME,384.0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Childon,,,,,HOMME,385.0,,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12
Chio-Chio,,,,,FEMME,50.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chochol,,,,,HOMME,386.0,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
Chomas,,,,,HOMME,387.0,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Chris,MacArdle,Cooney,,,,954.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Christee,,,,,,955.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Chuck,Havers,,,,HOMME,388.0,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Chuck,Kimmage,,,,HOMME,389.0,,12,0,0,0,0,20,0,0,0,0,0,0,0,0,0,32
Chung,,,,,HOMME,390.0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ciparis,,,,,HOMME,391.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
Clagesh,,,,,HOMME,392.0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Clargesh,,,,,FEMME,51.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Clell,,,,,HOMME,393.0,,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25
Clim,,,,bronze,HOMME,394.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Clisser,Cliss,,,,HOMME,395.0,,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,165
Clostan,,,,,HOMME,396.0,,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,41
Cobber,Alhinwa,,,,HOMME,397.0,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Cogneur,,,,,HOMME,398.0,,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,48
Colmin,,,,,HOMME,399.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Conwy,,,,,HOMME,400.0,,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17
Corana,,,,,FEMME,52.0,,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,43
Cording,,,,,HOMME,401.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Corman,,,,,HOMME,402.0,,0,1,0,0,0,12,0,2,18,0,0,0,5,58,2,98
Cosira,,,Caylith,reine,FEMME,53.0,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,12
Cr’not,,,Caith,bronze,HOMME,403.0,,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9
Creline,,,,,HOMME,404.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Crenden,Cren,,,,HOMME,405.0,,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75
Crivelan,Crivellan-aux-doigts-agiles,,,,HOMME,406.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
