sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text,text_lemma
16712,Le Seigneur des Anneaux,,,286,286,291,demanda t'il.,demander teil.
16713,Le Seigneur des Anneaux,,,286,286,291,Et qu'êtes-vous?,Et queêtrevous?
16714,Le Seigneur des Anneaux,,,286,286,291,"» Un regard bizarre se montra dans les vieux yeux, une sorte de circonspection, les puits profonds étaient de nouveau recouverts.","» Un regard bizarre se montrer dans le vieux oeil, un sorte de circonspection, le puits profond être de nouveau recouvrir."
16715,Le Seigneur des Anneaux,,,286,286,291,«,«
16716,Le Seigneur des Anneaux,,,286,286,291,"Eh bien, hrum, répondit la voix, enfin, je suis un Ent, ou c'est ainsi qu'on me nomme.","Eh bien, hrum, répondre le voix, enfin, je être un Ent, ou ceêtre ainsi queon me nommer."
16717,Le Seigneur des Anneaux,,,286,286,291,"Oui, Ent, c'est le mot.","Oui, Ent, ceêtre le mot."
16718,Le Seigneur des Anneaux,,,286,286,291,"L'Ent, que je suis, pour ainsi dire, dans votre.","LEEnt, que je être, pour ainsi dire, dans votre."
16719,Le Seigneur des Anneaux,,,286,286,291,façon de vous exprimer.,façon de vous exprimer.
16720,Le Seigneur des Anneaux,,,286,286,291,"Selon certains, mon nom est Fangorn, d'autres disent Sylvebarbe.","Selon certain, mon nom être Fangorn, deautre dire Sylvebarbe."
16721,Le Seigneur des Anneaux,,,286,286,291,Sylvebarbe conviendra»,Sylvebarbe convenir»
16722,Le Seigneur des Anneaux,,,286,286,291,.,.
16723,Le Seigneur des Anneaux,,,286,286,291,«,«
16724,Le Seigneur des Anneaux,,,286,286,291,Un Ent?,Un Ent?
16725,Le Seigneur des Anneaux,,,286,286,291,dit Merry.,dire Merry.
16726,Le Seigneur des Anneaux,,,286,286,291,Qu'est ce que cela?,Queêtre ce que celer?
16727,Le Seigneur des Anneaux,,,286,286,291,"Mais comment vous nommez-vous, vous-même?","Mais comment vous nommervous, vous-même?"
16728,Le Seigneur des Anneaux,,,286,286,291,Quel est votre nom véritable?,Quel être votre nom véritable?
16729,Le Seigneur des Anneaux,,,286,286,291,"» «Hou, voyons! répliqua Sylvebarbe.","» «Hou, voir! répliqua Sylvebarbe."
16730,Le Seigneur des Anneaux,,,286,286,291,Hou!,Hou!
16731,Le Seigneur des Anneaux,,,286,286,291,Ce serait tout dire!,Ce être tout dire!
16732,Le Seigneur des Anneaux,,,286,286,291,Pas tant de hâte.,Pas tant de hâte.
16733,Le Seigneur des Anneaux,,,286,286,291,Et c'est moi qui pose les questions.,Et ceêtre moi qui pose le question.
16734,Le Seigneur des Anneaux,,,286,286,291,Vous êtes dans mon pays.,Vous être dans mon pays.
16735,Le Seigneur des Anneaux,,,286,286,291,"Qui êtes-vous vous-mêmes, je me le demande?","Qui êtrevous vous-même, je me le demande?"
16736,Le Seigneur des Anneaux,,,286,286,291,Je ne vous situe pas.,Je ne vous situer pas.
