ID unique,Noms humains,Second nom,Troisième nom,Quatrième nom,aliases
362,Germathen,,,,Germathen
363,Gifflen,,,,Gifflen
364,Ginia,,,,Ginia
365,Gisa,,,,Gisa
366,Glammie,,,,Glammie
367,Glay,,,,Glay
368,Gledia,,,,Gledia
369,Gomalsi,,,,Gomalsi
370,Gorazde,,,,Gorazde
371,Gorby,,,,Gorby
372,Gorta,,,,Gorta
373,Gostol,,,,Gostol
374,Gram,,,,Gram
375,Grasella,,,,Grasella
376,Greg,Keating,,,Greg Keating | Keating | Greg
377,Greta,,,,Greta
378,Grevil,,,,Grevil
379,Grisella,,,,Grisella
380,Grodon,,,,Grodon
381,Grogellan,,,,Grogellan
382,Groghe,,,,Groghe
383,Gyorgy,,,,Gyorgy
384,H’ages,,,,H’ages
385,H’grave,,,,H’grave
386,H’mar,,,,H’mar
387,H’nalt,,,,H’nalt
388,H’nor,,,,H’nor
389,H’redan,,,,H’redan
390,Halanna,,,,Halanna
391,Halefor,,,,Halefor
392,Halibran,,,,Halibran
393,Haligon,,,,Haligon
394,Hally,,,,Hally
395,Hamian,,,,Hamian
396,Haura,,,,Haura
397,Hayara,,,,Hayara
398,Hayon,,,,Hayon
399,Hedelman,,,,Hedelman
400,Hegmon,,,,Hegmon
401,Heinrich,,,,Heinrich
402,Helly,,,,Helly
403,Hillegel,,,,Hillegel
404,Hittet,,,,Hittet
405,Hobson,,,,Hobson
406,Holht,,,,Holht
407,Horon,,,,Horon
408,Hosbon,,,,Hosbon
409,Iantine,Ian,,,Iantine Ian | Iantine | Ian
410,Idarolan,Iddie,,,Idarolan Iddie | Idarolan | Iddie
411,Idoralan,,,,Idoralan
412,Ifor,,,,Ifor
413,Irene,,,,Irene
414,Irtine,,,,Irtine
415,Isla,,,,Isla
416,Issony,,,,Issony
417,Ita,,,,Ita
418,Ivan,le Terrible,,,Ivan le Terrible | le Terrible | Ivan
419,J’dar,,,,J’dar
420,J’fery,,,,J’fery
421,J’lono,,,,J’lono
422,J’ralt,Jeralte,,,J’ralt Jeralte | Jeralte | J’ralt
423,Jacob,Chernoff,,,Jacob Chernoff | Chernoff | Jacob
424,Jake,Chernoff,,,Jake Chernoff | Chernoff | Jake
425,Jallora,,,,Jallora
426,Jamson,,,,Jamson
427,Janara,,,,Janara
428,Jancis,,,,Jancis
429,Jane,,,,Jane
430,Janissian,,,,Janissian
431,Jarrol,,,,Jarrol
432,Jaxom,Jax,,,Jaxom Jax | Jaxom | Jax
433,Jayge,Lilcamp,,,Jayge Lilcamp | Lilcamp | Jayge
434,Jemmy,,,,Jemmy
435,Jenfa,,,,Jenfa
436,Jerin,,,,Jerin
437,Jerint,,,,Jerint
438,Jerrint,,,,Jerrint
439,Jerry,Mercer,,,Jerry Mercer | Mercer | Jerry
440,Jesken,,,,Jesken
441,Jess,,,,Jess
442,Jessuan,,,,Jessuan
443,Jez,,,,Jez
444,Jim,Tillek,James,,Jim Tillek James | Tillek James | Jim Tillek | Jim James | Tillek | James | Jim
445,Jiro,Akamoto,,,Jiro Akamoto | Akamoto | Jiro
446,Jissamy,,,,Jissamy
447,Jivan,,,,Jivan
448,Joanson,,,,Joanson
449,Joe,Millan,,,Joe Millan | Millan | Joe
450,Joël,Lilienkamp,Joel,Lili,Joël Lilienkamp Joel | Joël Lilienkamp | Lilienkamp Joel | Lilienkamp | Joël Joel | Joël
451,Johnny ,Greene,,,Johnny Greene | Greene | Johnny
452,Jol,,,,Jol
453,Jonno,,,,Jonno
454,Jora,,,,Jora
455,Josetta,,,,Josetta
456,Ju,Adjai,Adjar,,Ju Adjai Adjar | Adjai Adjar | Ju Adjai | Ju Adjar | Adjai | Adjar | Ju
457,Jubb,,,,Jubb
458,Jule,,,,Jule
459,Juvana,,,,Juvana
460,K’dall,,,,K’dall
461,K’dor,,,,K’dor
462,K’dren,,,,K’dren
463,K’drin,,,,K’drin
464,K’lon ,,,,K’lon
465,K’nebel,,,,K’nebel
466,K’net,,,,K’net
467,K’van,,,,K’van
468,K’vin,Kev,,,K’vin Kev | K’vin | Kev
469,Kailey,,,,Kailey
470,Kale,,,,Kale
471,Kalem,,,,Kalem
472,Kaljan,,,,Kaljan
473,Kalvi,,,,Kalvi
474,Kami,,,,Kami
475,Kamiana,,,,Kamiana
476,Kamina,,,,Kamina
477,Kanadin,K’din,,,Kanadin K’din | Kanadin | K’din
478,Karenchok,,,,Karenchok
479,Kashman,,,,Kashman
480,Kasia,,,,Kasia
481,Kathy,Duff,,,Kathy Duff | Kathy | Duff
482,Kayla,,,,Kayla
483,Keita,,,,Keita
484,Kenalas,,,,Kenalas
485,Kenjo,Fusaiyuki,,,Kenjo Fusaiyuki | Fusaiyuki | Kenjo
486,Kepiru,,,,Kepiru
487,Ker,,,,Ker
488,Kern,,,,Kern
489,Ketrin,,,,Ketrin
490,Kevelon,,,,Kevelon
491,Kinsale,,,,Kinsale
492,Kinver,,,,Kinver
493,Kirnety,,,,Kirnety
494,Kista,,,,Kista
495,Kit,Ping,Kitti,,Kit Ping Kitti | Ping Kitti | Kit Kitti | Kit Ping | Kitti | Ping | Kit
496,Kitral,,,,Kitral
497,Kitrin,,,,Kitrin
498,Kizan,,,,Kizan
499,Klada,,,,Klada
500,Kubisa,,,,Kubisa
501,Kulan,,,,Kulan
502,Kulla,,,,Kulla
503,Kung,,,,Kung
504,Kurt,,,,Kurt
505,Kwan ,Marceau,,,Kwan Marceau | Marceau | Kwan
506,Kylara,,,,Kylara
507,Kylos,,,,Kylos
508,L’bol,,,,L’bol
509,L’mal,,,,L’mal
510,L’rad,,,,L’rad
511,L’rayl,,,,L’rayl
512,L’sur,,,,L’sur
513,L’tol,Lytol,Lytonal,,L’tol Lytol Lytonal | Lytol Lytonal | L’tol Lytonal | L’tol Lytol | Lytonal | Lytol | L’tol
514,L’trel,,,,L’trel
515,L’vin,,,,L’vin
516,L’zal,,,,L’zal
517,L’zan,,,,L’zan
518,Laela,,,,Laela
519,Laland,,,,Laland
520,Lally,Moorhouse,,,Lally Moorhouse | Moorhouse | Lally
521,Landon,,,,Landon
522,Langrell,,,,Langrell
523,Larad,,,,Larad
524,Laradian,,,,Laradian
525,Larna,Lama,,,Larna Lama | Larna | Lama
526,Laudey,,,,Laudey
527,Lauley,,,,Lauley
528,Laura,,,,Laura
529,Lavel,,,,Lavel
530,Layrence,,,,Layrence
531,Lear,,,,Lear
532,Lechi,,,,Lechi
533,Leef,Leff,,,Leef Leff | Leef | Leff
534,Lemsia,,,,Lemsia
535,Lensdale,,,,Lensdale
536,Léo,Léopol,,,Léo Léopol | Léopol | Léo
537,Leri,,,,Leri
538,Lesnour,,,,Lesnour
539,Lessa,,,,Lessa
540,Lesselam,,,,Lesselam
541,Lesselden,,,,Lesselden
542,Levalla,,,,Levalla
543,Lexey,,,,Lexey
544,Lias,,,,Lias
545,Libby,,,,Libby
546,Lidora,,,,Lidora
547,Ligand,,,,Ligand
548,Lilla,,,,Lilla
549,Lissala,,,,Lissala
550,Lobirn,,,,Lobirn
551,Lonada,,,,Lonada
552,Londik,,,,Londik
553,Loreana,,,,Loreana
554,Lorra,,,,Lorra
555,Losacot,,,,Losacot
556,Lotricia,,,,Lotricia
557,Lozell,,,,Lozell
558,Luccha,,,,Luccha
559,Lucil,,,,Lucil
560,Lucy,Tubberman,,,Lucy Tubberman | Tubberman | Lucy
561,Lur,,,,Lur
562,M’barak,,,,M’barak
563,M’dani,,,,M’dani
564,M’gent,,,,M’gent
565,M’hall,,,,M’hall
566,M’leng,,,,M’leng
567,M’ling,,,,M’ling
568,M’odon,,,,M’odon
569,M’rak,,,,M’rak
570,M’rand,,,,M’rand
571,M’ray,,,,M’ray
572,M’rek,,,,M’rek
573,M’ridin,,,,M’ridin
574,M’shall,,,,M’shall
575,M’sur,,,,M’sur
576,M’tani,,,,M’tani
577,Macabir,,,,Macabir
578,Macester,,,,Macester
579,Macy,,,,Macy
580,Magalia,,,,Magalia
581,Maidir,,,,Maidir
582,Mairi,,,,Mairi
583,Mairian,,,,Mairian
584,Maizella,,,,Maizella
585,Makfar,,,,Makfar
